,venue,innings,batting_team,bowling_team,striker,bowler,total_runs
301,"Vidarbha Cricket Association Stadium, Jamtha",100,Deccan Chargers,Rajasthan Royals,36.056,8.833,52
302,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Mumbai Indians,33.577,7.632,42
303,"MA Chidambaram Stadium, Chepauk",100,Mumbai Indians,Chennai Super Kings,21.604,6.186,46
304,Sawai Mansingh Stadium,50,Punjab Kings,Rajasthan Royals,29.465,5.239,52
305,Sawai Mansingh Stadium,100,Rajasthan Royals,Punjab Kings,20.483,5.456,70
306,Eden Gardens,50,Kolkata Knight Riders,Delhi Daredevils,20.925,3.604,50
307,Eden Gardens,100,Delhi Daredevils,Kolkata Knight Riders,35.714,5.133,44
308,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Deccan Chargers,28.767,5.967,46
309,M Chinnaswamy Stadium,100,Deccan Chargers,Royal Challengers Bangalore,29.771,10.259,32
310,"Punjab Cricket Association Stadium, Mohali",50,Mumbai Indians,Punjab Kings,30.524,6.479,51
311,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Mumbai Indians,34.129,13.296,56
312,"Vidarbha Cricket Association Stadium, Jamtha",50,Chennai Super Kings,Deccan Chargers,33.577,6.354,55
313,"Vidarbha Cricket Association Stadium, Jamtha",100,Deccan Chargers,Chennai Super Kings,39.34,5.805,37
314,M Chinnaswamy Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,32.2,9.862,61
315,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,29.854,8.47,48
316,Feroz Shah Kotla,50,Delhi Daredevils,Punjab Kings,56.829,5.89,45
317,Feroz Shah Kotla,100,Punjab Kings,Delhi Daredevils,21.241,6.365,39
318,Sawai Mansingh Stadium,50,Mumbai Indians,Rajasthan Royals,47.95,5.333,47
319,Sawai Mansingh Stadium,100,Rajasthan Royals,Mumbai Indians,45.751,14.155,34
320,"Vidarbha Cricket Association Stadium, Jamtha",50,Deccan Chargers,Royal Challengers Bangalore,48.607,8.896,35
321,"Vidarbha Cricket Association Stadium, Jamtha",100,Royal Challengers Bangalore,Deccan Chargers,28.767,6.196,38
322,Brabourne Stadium,50,Mumbai Indians,Delhi Daredevils,28.1,6.998,44
323,Brabourne Stadium,100,Delhi Daredevils,Mumbai Indians,35.714,10.987,69
324,"MA Chidambaram Stadium, Chepauk",50,Kolkata Knight Riders,Chennai Super Kings,56.158,5.607,22
325,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Kolkata Knight Riders,33.577,4.53,67
326,Sawai Mansingh Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,44.432,8.138,30
327,Sawai Mansingh Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,42.379,4.834,59
328,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Delhi Daredevils,52.455,10.701,39
329,"MA Chidambaram Stadium, Chepauk",100,Delhi Daredevils,Chennai Super Kings,54.14,5.607,33
330,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Deccan Chargers,30.845,5.313,43
331,Himachal Pradesh Cricket Association Stadium,100,Deccan Chargers,Punjab Kings,29.771,4.392,45
332,M Chinnaswamy Stadium,50,Mumbai Indians,Royal Challengers Bangalore,17.395,9.767,34
333,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Mumbai Indians,40.661,6.899,34
334,Eden Gardens,50,Rajasthan Royals,Kolkata Knight Riders,19.381,7.123,46
335,Eden Gardens,100,Kolkata Knight Riders,Rajasthan Royals,41.669,5.539,42
336,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Chennai Super Kings,30.845,9.607,49
337,Himachal Pradesh Cricket Association Stadium,100,Chennai Super Kings,Punjab Kings,40.125,4.015,49
338,Feroz Shah Kotla,50,Deccan Chargers,Delhi Daredevils,39.34,11.375,38
339,Feroz Shah Kotla,100,Delhi Daredevils,Deccan Chargers,50.3,3.502,39
340,Eden Gardens,50,Mumbai Indians,Kolkata Knight Riders,37.733,6.343,42
341,Eden Gardens,100,Kolkata Knight Riders,Mumbai Indians,20.008,2.945,44
342,Dr DY Patil Sports Academy,50,Mumbai Indians,Royal Challengers Bangalore,38.004,11.179,54
343,Dr DY Patil Sports Academy,100,Royal Challengers Bangalore,Mumbai Indians,30.914,10.334,44
344,Dr DY Patil Sports Academy,50,Chennai Super Kings,Deccan Chargers,48.969,5.406,39
345,Dr DY Patil Sports Academy,100,Deccan Chargers,Chennai Super Kings,38.601,5.607,23
346,Dr DY Patil Sports Academy,50,Deccan Chargers,Royal Challengers Bangalore,45.613,8.233,27
347,Dr DY Patil Sports Academy,100,Royal Challengers Bangalore,Deccan Chargers,19.02,2.793,33
348,Dr DY Patil Sports Academy,50,Chennai Super Kings,Mumbai Indians,21.88,13.582,40
349,Dr DY Patil Sports Academy,100,Mumbai Indians,Chennai Super Kings,29.085,9.028,33
350,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Kolkata Knight Riders,26.832,6.766,45
351,"MA Chidambaram Stadium, Chepauk",100,Kolkata Knight Riders,Chennai Super Kings,18.144,9.397,52
352,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Rajasthan Royals,35.022,3.048,44
353,"Rajiv Gandhi International Stadium, Uppal",100,Rajasthan Royals,Deccan Chargers,23.319,9.467,31
354,Nehru Stadium,50,Kochi Tuskers Kerala,Royal Challengers Bangalore,19.905,7.914,61
355,Nehru Stadium,100,Royal Challengers Bangalore,Kochi Tuskers Kerala,40.168,10.17,48
356,Feroz Shah Kotla,50,Delhi Daredevils,Mumbai Indians,51.255,10.579,38
357,Feroz Shah Kotla,100,Mumbai Indians,Delhi Daredevils,27.738,14.844,31
358,Dr DY Patil Sports Academy,50,Punjab Kings,Pune Warriors,65.077,3.268,36
359,Dr DY Patil Sports Academy,100,Pune Warriors,Punjab Kings,24.081,6.751,44
360,Eden Gardens,50,Kolkata Knight Riders,Deccan Chargers,18.144,8.677,46
361,Eden Gardens,100,Deccan Chargers,Kolkata Knight Riders,35.022,6.994,30
362,Sawai Mansingh Stadium,50,Delhi Daredevils,Rajasthan Royals,41.995,3.258,30
363,Sawai Mansingh Stadium,100,Rajasthan Royals,Delhi Daredevils,23.319,10.735,57
364,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Mumbai Indians,40.168,7.515,24
365,M Chinnaswamy Stadium,100,Mumbai Indians,Royal Challengers Bangalore,27.738,7.819,40
366,"Punjab Cricket Association Stadium, Mohali",50,Chennai Super Kings,Punjab Kings,33.38,6.206,31
367,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Chennai Super Kings,20.674,9.311,65
368,Dr DY Patil Sports Academy,50,Kochi Tuskers Kerala,Pune Warriors,60.545,2.392,37
369,Dr DY Patil Sports Academy,100,Pune Warriors,Kochi Tuskers Kerala,24.081,9.773,44
370,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Royal Challengers Bangalore,31.228,8.171,41
371,"Rajiv Gandhi International Stadium, Uppal",100,Royal Challengers Bangalore,Deccan Chargers,40.168,9.673,28
372,Sawai Mansingh Stadium,50,Rajasthan Royals,Kolkata Knight Riders,23.473,6.775,31
373,Sawai Mansingh Stadium,100,Kolkata Knight Riders,Rajasthan Royals,29.135,5.174,62
374,Wankhede Stadium,50,Mumbai Indians,Kochi Tuskers Kerala,18.818,7.437,44
375,Wankhede Stadium,100,Kochi Tuskers Kerala,Mumbai Indians,21.884,7.515,50
376,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Royal Challengers Bangalore,20.318,6.146,45
377,"MA Chidambaram Stadium, Chepauk",100,Royal Challengers Bangalore,Chennai Super Kings,63.501,9.311,33
378,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Punjab Kings,31.228,6.206,48
379,"Rajiv Gandhi International Stadium, Uppal",100,Punjab Kings,Deccan Chargers,20.674,9.673,62
380,Dr DY Patil Sports Academy,50,Pune Warriors,Delhi Daredevils,24.081,11.45,63
381,Dr DY Patil Sports Academy,100,Delhi Daredevils,Pune Warriors,24.723,2.392,67
382,Eden Gardens,50,Rajasthan Royals,Kolkata Knight Riders,36.04,6.326,36
383,Eden Gardens,100,Kolkata Knight Riders,Rajasthan Royals,29.135,4.326,26
384,Nehru Stadium,50,Chennai Super Kings,Kochi Tuskers Kerala,32.014,7.437,42
385,Nehru Stadium,100,Kochi Tuskers Kerala,Chennai Super Kings,32.301,10.458,49
386,Feroz Shah Kotla,50,Deccan Chargers,Delhi Daredevils,31.228,10.261,43
387,Feroz Shah Kotla,100,Delhi Daredevils,Deccan Chargers,51.588,5.015,38
388,Wankhede Stadium,50,Pune Warriors,Mumbai Indians,49.749,7.717,33
389,Wankhede Stadium,100,Mumbai Indians,Pune Warriors,26.495,3.268,32
390,Eden Gardens,50,Kochi Tuskers Kerala,Kolkata Knight Riders,21.884,6.326,45
391,Eden Gardens,100,Kolkata Knight Riders,Kochi Tuskers Kerala,37.192,7.43,37
392,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Rajasthan Royals,30.961,5.067,77
393,"Punjab Cricket Association Stadium, Mohali",100,Rajasthan Royals,Punjab Kings,37.074,6.226,45
394,Wankhede Stadium,50,Mumbai Indians,Chennai Super Kings,29.041,4.654,40
395,Wankhede Stadium,100,Chennai Super Kings,Mumbai Indians,38.563,10.57,44
396,Eden Gardens,50,Kolkata Knight Riders,Royal Challengers Bangalore,36.591,8.079,50
397,Eden Gardens,100,Royal Challengers Bangalore,Kolkata Knight Riders,21.482,7.293,57
398,Feroz Shah Kotla,50,Delhi Daredevils,Punjab Kings,24.723,6.289,70
399,Feroz Shah Kotla,100,Punjab Kings,Delhi Daredevils,30.961,6.756,46
400,"Rajiv Gandhi International Stadium, Uppal",50,Mumbai Indians,Deccan Chargers,18.818,10.142,57
401,"Rajiv Gandhi International Stadium, Uppal",100,Deccan Chargers,Mumbai Indians,36.412,10.57,41
402,Sawai Mansingh Stadium,50,Kochi Tuskers Kerala,Rajasthan Royals,36.922,5.272,32
403,Sawai Mansingh Stadium,100,Rajasthan Royals,Kochi Tuskers Kerala,19.905,7.033,38
404,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Pune Warriors,20.318,1.945,45
405,"MA Chidambaram Stadium, Chepauk",100,Pune Warriors,Chennai Super Kings,55.579,9.028,40
406,Feroz Shah Kotla,50,Delhi Daredevils,Royal Challengers Bangalore,35.124,7.784,42
407,Feroz Shah Kotla,100,Royal Challengers Bangalore,Delhi Daredevils,31.687,10.261,65
408,Dr DY Patil Sports Academy,50,Pune Warriors,Chennai Super Kings,44.077,3.042,37
409,Dr DY Patil Sports Academy,100,Chennai Super Kings,Pune Warriors,26.866,2.333,28
410,Nehru Stadium,50,Deccan Chargers,Kochi Tuskers Kerala,38.949,9.485,20
411,Nehru Stadium,100,Kochi Tuskers Kerala,Deccan Chargers,69.448,7.844,29
412,Feroz Shah Kotla,50,Kolkata Knight Riders,Delhi Daredevils,28.461,11.338,42
413,Feroz Shah Kotla,100,Delhi Daredevils,Kolkata Knight Riders,35.124,6.703,41
414,Sawai Mansingh Stadium,50,Mumbai Indians,Rajasthan Royals,37.306,4.974,31
415,Sawai Mansingh Stadium,100,Rajasthan Royals,Mumbai Indians,26.973,7.331,18
416,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Pune Warriors,21.482,1.527,57
417,M Chinnaswamy Stadium,100,Pune Warriors,Royal Challengers Bangalore,24.418,7.97,42
418,Nehru Stadium,50,Delhi Daredevils,Kochi Tuskers Kerala,41.249,6.143,34
419,Nehru Stadium,100,Kochi Tuskers Kerala,Delhi Daredevils,48.817,11.338,37
420,Eden Gardens,50,Punjab Kings,Kolkata Knight Riders,30.961,5.989,40
421,Eden Gardens,100,Kolkata Knight Riders,Punjab Kings,36.049,6.323,45
422,Sawai Mansingh Stadium,50,Pune Warriors,Rajasthan Royals,32.004,5.659,49
423,Sawai Mansingh Stadium,100,Rajasthan Royals,Pune Warriors,26.973,2.145,34
424,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Deccan Chargers,32.014,6.329,34
425,"MA Chidambaram Stadium, Chepauk",100,Deccan Chargers,Chennai Super Kings,21.279,9.114,64
426,Wankhede Stadium,50,Mumbai Indians,Punjab Kings,27.738,5.395,35
427,Wankhede Stadium,100,Punjab Kings,Mumbai Indians,30.961,10.57,24
428,Feroz Shah Kotla,50,Delhi Daredevils,Kochi Tuskers Kerala,38.983,6.435,42
429,Feroz Shah Kotla,100,Kochi Tuskers Kerala,Delhi Daredevils,30.943,11.338,67
430,"Rajiv Gandhi International Stadium, Uppal",50,Kolkata Knight Riders,Deccan Chargers,27.992,8.677,41
431,"Rajiv Gandhi International Stadium, Uppal",100,Deccan Chargers,Kolkata Knight Riders,36.412,4.45,41
432,"MA Chidambaram Stadium, Chepauk",50,Rajasthan Royals,Chennai Super Kings,19.905,9.028,47
433,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Rajasthan Royals,32.014,4.874,43
434,Dr DY Patil Sports Academy,50,Mumbai Indians,Pune Warriors,30.232,1.459,49
435,Dr DY Patil Sports Academy,100,Pune Warriors,Mumbai Indians,35.894,14.765,31
436,Nehru Stadium,50,Kochi Tuskers Kerala,Kolkata Knight Riders,41.551,5.079,35
437,Nehru Stadium,100,Kolkata Knight Riders,Kochi Tuskers Kerala,17.001,9.777,43
438,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Delhi Daredevils,29.006,6.953,43
439,"Rajiv Gandhi International Stadium, Uppal",100,Delhi Daredevils,Deccan Chargers,39.841,8.677,29
440,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Punjab Kings,31.687,6.206,48
441,M Chinnaswamy Stadium,100,Punjab Kings,Royal Challengers Bangalore,65.077,8.159,38
442,Eden Gardens,50,Chennai Super Kings,Kolkata Knight Riders,38.563,4.365,15
443,Eden Gardens,100,Kolkata Knight Riders,Chennai Super Kings,27.992,9.028,33
444,Wankhede Stadium,50,Mumbai Indians,Delhi Daredevils,30.232,7.405,50
445,Wankhede Stadium,100,Delhi Daredevils,Mumbai Indians,60.872,14.765,23
446,M Chinnaswamy Stadium,50,Kochi Tuskers Kerala,Royal Challengers Bangalore,30.943,8.455,49
447,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kochi Tuskers Kerala,31.687,7.697,79
448,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Pune Warriors,30.961,7.029,34
449,"Punjab Cricket Association Stadium, Mohali",100,Pune Warriors,Punjab Kings,32.004,6.784,40
450,Sawai Mansingh Stadium,50,Chennai Super Kings,Rajasthan Royals,20.318,5.464,55
451,Sawai Mansingh Stadium,100,Rajasthan Royals,Chennai Super Kings,29.859,10.343,48
452,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Pune Warriors,19.056,7.029,50
453,"Rajiv Gandhi International Stadium, Uppal",100,Pune Warriors,Deccan Chargers,20.501,10.532,52
454,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Mumbai Indians,30.961,10.184,39
455,"Punjab Cricket Association Stadium, Mohali",100,Mumbai Indians,Punjab Kings,46.166,6.818,33
456,Sawai Mansingh Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,19.905,8.437,43
457,Sawai Mansingh Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,21.482,5.545,66
458,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Delhi Daredevils,32.014,5.622,42
459,"MA Chidambaram Stadium, Chepauk",100,Delhi Daredevils,Chennai Super Kings,30.23,9.028,52
460,Holkar Cricket Stadium,50,Kochi Tuskers Kerala,Punjab Kings,21.884,3.068,62
461,Holkar Cricket Stadium,100,Punjab Kings,Kochi Tuskers Kerala,40.097,6.143,49
462,M Chinnaswamy Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,49.111,8.437,33
463,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,45.674,5.528,65
464,Wankhede Stadium,50,Deccan Chargers,Mumbai Indians,31.4,14.765,32
465,Wankhede Stadium,100,Mumbai Indians,Deccan Chargers,46.166,5.496,26
466,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Delhi Daredevils,30.961,8.373,43
467,Himachal Pradesh Cricket Association Stadium,100,Delhi Daredevils,Punjab Kings,21.007,6.289,42
468,Holkar Cricket Stadium,50,Rajasthan Royals,Kochi Tuskers Kerala,44.867,6.143,32
469,Holkar Cricket Stadium,100,Kochi Tuskers Kerala,Rajasthan Royals,39.567,1.753,87
470,Dr DY Patil Sports Academy,50,Pune Warriors,Deccan Chargers,40.737,9.067,39
471,Dr DY Patil Sports Academy,100,Deccan Chargers,Pune Warriors,21.279,7.027,57
472,Himachal Pradesh Cricket Association Stadium,50,Punjab Kings,Royal Challengers Bangalore,30.961,3.24,30
473,Himachal Pradesh Cricket Association Stadium,100,Royal Challengers Bangalore,Punjab Kings,41.448,6.289,34
474,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Kochi Tuskers Kerala,32.014,6.431,41
475,"MA Chidambaram Stadium, Chepauk",100,Kochi Tuskers Kerala,Chennai Super Kings,33.231,5.805,40
476,Dr DY Patil Sports Academy,50,Pune Warriors,Kolkata Knight Riders,35.376,6.39,29
477,Dr DY Patil Sports Academy,100,Kolkata Knight Riders,Pune Warriors,27.282,7.416,44
478,Wankhede Stadium,50,Mumbai Indians,Rajasthan Royals,37.314,3.83,26
479,Wankhede Stadium,100,Rajasthan Royals,Mumbai Indians,19.905,14.765,52
480,Himachal Pradesh Cricket Association Stadium,50,Deccan Chargers,Punjab Kings,19.056,6.226,58
481,Himachal Pradesh Cricket Association Stadium,100,Punjab Kings,Deccan Chargers,40.097,4.801,45
482,Feroz Shah Kotla,50,Delhi Daredevils,Pune Warriors,25.293,2.6,33
483,M Chinnaswamy Stadium,50,Chennai Super Kings,Royal Challengers Bangalore,50.627,8.08,23
484,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Chennai Super Kings,32.949,5.607,44
485,Eden Gardens,50,Kolkata Knight Riders,Mumbai Indians,36.519,7.644,46
486,Eden Gardens,100,Mumbai Indians,Kolkata Knight Riders,30.596,6.326,54
487,Wankhede Stadium,50,Royal Challengers Bangalore,Chennai Super Kings,32.516,9.028,44
488,Wankhede Stadium,100,Chennai Super Kings,Royal Challengers Bangalore,38.563,7.97,25
489,Wankhede Stadium,50,Kolkata Knight Riders,Mumbai Indians,59.164,14.765,25
490,Wankhede Stadium,100,Mumbai Indians,Kolkata Knight Riders,21.313,6.241,62
491,"MA Chidambaram Stadium, Chepauk",50,Royal Challengers Bangalore,Mumbai Indians,22.311,10.57,68
492,"MA Chidambaram Stadium, Chepauk",100,Mumbai Indians,Royal Challengers Bangalore,42.651,8.345,52
493,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Royal Challengers Bangalore,20.318,8.359,56
494,"MA Chidambaram Stadium, Chepauk",100,Royal Challengers Bangalore,Chennai Super Kings,43.069,9.028,47
495,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Mumbai Indians,46.482,7.744,42
496,"MA Chidambaram Stadium, Chepauk",100,Mumbai Indians,Chennai Super Kings,16.669,9.712,53
497,Eden Gardens,50,Kolkata Knight Riders,Delhi Daredevils,60.241,12.204,46
498,Eden Gardens,100,Delhi Daredevils,Kolkata Knight Riders,23.315,5.128,48
499,Wankhede Stadium,50,Pune Warriors,Mumbai Indians,46.79,10.974,30
500,Wankhede Stadium,100,Mumbai Indians,Pune Warriors,40.763,5.798,27
501,Sawai Mansingh Stadium,50,Rajasthan Royals,Punjab Kings,19.738,7.729,57
502,Sawai Mansingh Stadium,100,Punjab Kings,Rajasthan Royals,38.441,3.05,45
503,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Delhi Daredevils,35.99,11.438,46
504,M Chinnaswamy Stadium,100,Delhi Daredevils,Royal Challengers Bangalore,32.575,9.396,46
505,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Chennai Super Kings,Deccan Chargers,40.238,6.881,44
506,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Deccan Chargers,Chennai Super Kings,30.4,9.028,45
507,Sawai Mansingh Stadium,50,Rajasthan Royals,Kolkata Knight Riders,27.972,7.399,37
508,Sawai Mansingh Stadium,100,Kolkata Knight Riders,Rajasthan Royals,60.241,2.206,27
509,Subrata Roy Sahara Stadium,50,Pune Warriors,Punjab Kings,34.335,7.161,38
510,Subrata Roy Sahara Stadium,100,Punjab Kings,Pune Warriors,37.65,8.641,19
511,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,50,Deccan Chargers,Mumbai Indians,34.19,10.974,45
512,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,100,Mumbai Indians,Deccan Chargers,32.878,5.052,29
513,M Chinnaswamy Stadium,50,Kolkata Knight Riders,Royal Challengers Bangalore,20.227,10.334,60
514,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Kolkata Knight Riders,50.918,4.898,20
515,Feroz Shah Kotla,50,Chennai Super Kings,Delhi Daredevils,29.955,11.338,41
516,Feroz Shah Kotla,100,Delhi Daredevils,Chennai Super Kings,34.129,9.028,50
517,Wankhede Stadium,50,Mumbai Indians,Rajasthan Royals,23.958,2.206,54
518,Wankhede Stadium,100,Rajasthan Royals,Mumbai Indians,36.888,7.926,44
519,"MA Chidambaram Stadium, Chepauk",50,Royal Challengers Bangalore,Chennai Super Kings,32.516,9.028,56
520,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Royal Challengers Bangalore,21.992,9.402,52
521,"Punjab Cricket Association Stadium, Mohali",50,Pune Warriors,Punjab Kings,39.71,7.076,29
522,"Punjab Cricket Association Stadium, Mohali",100,Punjab Kings,Pune Warriors,30.961,9.024,38
523,Eden Gardens,50,Rajasthan Royals,Kolkata Knight Riders,19.738,6.197,45
524,Eden Gardens,100,Kolkata Knight Riders,Rajasthan Royals,29.135,2.216,36
525,Feroz Shah Kotla,50,Deccan Chargers,Delhi Daredevils,31.418,7.585,50
526,Feroz Shah Kotla,100,Delhi Daredevils,Deccan Chargers,53.995,4.746,34
527,Subrata Roy Sahara Stadium,50,Chennai Super Kings,Pune Warriors,21.992,9.516,43
528,Subrata Roy Sahara Stadium,100,Pune Warriors,Chennai Super Kings,30.99,9.661,56
529,Eden Gardens,50,Punjab Kings,Kolkata Knight Riders,41.801,6.112,26
530,Eden Gardens,100,Kolkata Knight Riders,Punjab Kings,37.192,6.103,48
531,M Chinnaswamy Stadium,50,Rajasthan Royals,Royal Challengers Bangalore,19.738,11.126,43
532,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Rajasthan Royals,32.516,2.7,54
533,Wankhede Stadium,50,Mumbai Indians,Delhi Daredevils,32.87,7.82,23
534,Wankhede Stadium,100,Delhi Daredevils,Mumbai Indians,34.129,6.529,41
535,Sawai Mansingh Stadium,50,Deccan Chargers,Rajasthan Royals,21.001,2.7,57
536,Sawai Mansingh Stadium,100,Rajasthan Royals,Deccan Chargers,26.96,5.144,62
537,M Chinnaswamy Stadium,50,Pune Warriors,Royal Challengers Bangalore,22.257,10.438,58
538,M Chinnaswamy Stadium,100,Royal Challengers Bangalore,Pune Warriors,31.602,13.553,42
539,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Kolkata Knight Riders,40.457,5.821,45
540,"Punjab Cricket Association Stadium, Mohali",100,Kolkata Knight Riders,Punjab Kings,31.174,8.13,53
541,"Rajiv Gandhi International Stadium, Uppal",50,Deccan Chargers,Delhi Daredevils,35.116,9.717,33
542,"Rajiv Gandhi International Stadium, Uppal",100,Delhi Daredevils,Deccan Chargers,33.983,2.221,64
543,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Pune Warriors,18.258,10.923,42
544,"MA Chidambaram Stadium, Chepauk",100,Pune Warriors,Chennai Super Kings,40.737,6.071,53
545,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Royal Challengers Bangalore,40.14,10.046,41
546,"Punjab Cricket Association Stadium, Mohali",100,Royal Challengers Bangalore,Punjab Kings,51.568,5.776,36
547,"MA Chidambaram Stadium, Chepauk",50,Rajasthan Royals,Chennai Super Kings,28.655,7.386,41
548,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Rajasthan Royals,18.258,3.476,45
549,Feroz Shah Kotla,50,Pune Warriors,Delhi Daredevils,30.99,12.402,52
550,Feroz Shah Kotla,100,Delhi Daredevils,Pune Warriors,35.478,6.88,49
551,Wankhede Stadium,50,Mumbai Indians,Punjab Kings,17.576,6.951,39
552,Wankhede Stadium,100,Punjab Kings,Mumbai Indians,19.641,7.404,48
553,Barabati Stadium,50,Deccan Chargers,Kolkata Knight Riders,31.418,6.959,39
554,Barabati Stadium,100,Kolkata Knight Riders,Deccan Chargers,31.174,4.603,42
555,Sawai Mansingh Stadium,50,Royal Challengers Bangalore,Rajasthan Royals,29.615,2.451,37
556,Sawai Mansingh Stadium,100,Rajasthan Royals,Royal Challengers Bangalore,19.738,9.302,48
557,Subrata Roy Sahara Stadium,50,Pune Warriors,Delhi Daredevils,40.737,11.338,28
558,Subrata Roy Sahara Stadium,100,Delhi Daredevils,Pune Warriors,35.478,5.421,61
559,"Punjab Cricket Association Stadium, Mohali",50,Punjab Kings,Mumbai Indians,29.928,6.629,44
560,"Punjab Cricket Association Stadium, Mohali",100,Mumbai Indians,Punjab Kings,17.576,6.27,40
561,Subrata Roy Sahara Stadium,50,Deccan Chargers,Pune Warriors,26.654,10.924,50
562,Subrata Roy Sahara Stadium,100,Pune Warriors,Deccan Chargers,40.737,3.097,44
563,Feroz Shah Kotla,50,Delhi Daredevils,Mumbai Indians,23.585,7.804,54
564,Feroz Shah Kotla,100,Mumbai Indians,Delhi Daredevils,48.937,12.402,49
565,"MA Chidambaram Stadium, Chepauk",50,Punjab Kings,Chennai Super Kings,19.783,8.544,43
566,"MA Chidambaram Stadium, Chepauk",100,Chennai Super Kings,Punjab Kings,29.955,7.543,48
567,Eden Gardens,50,Kolkata Knight Riders,Royal Challengers Bangalore,22.266,9.392,46
568,Eden Gardens,100,Royal Challengers Bangalore,Kolkata Knight Riders,50.739,7.361,35
569,Feroz Shah Kotla,50,Delhi Daredevils,Rajasthan Royals,44.735,3.077,42
570,Feroz Shah Kotla,100,Rajasthan Royals,Delhi Daredevils,19.738,12.402,40
571,Wankhede Stadium,50,Deccan Chargers,Mumbai Indians,27.769,13.587,38
572,Wankhede Stadium,100,Mumbai Indians,Deccan Chargers,35.373,4.746,31
573,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Kolkata Knight Riders,46.233,6.912,43
574,"MA Chidambaram Stadium, Chepauk",100,Kolkata Knight Riders,Chennai Super Kings,31.503,8.079,37
575,Barabati Stadium,50,Deccan Chargers,Pune Warriors,36.603,11.076,33
576,Barabati Stadium,100,Pune Warriors,Deccan Chargers,29.681,4.994,48
577,Sawai Mansingh Stadium,50,Rajasthan Royals,Delhi Daredevils,19.738,12.402,56
578,Sawai Mansingh Stadium,100,Delhi Daredevils,Rajasthan Royals,35.478,6.04,61
579,M Chinnaswamy Stadium,50,Royal Challengers Bangalore,Punjab Kings,32.516,7.199,33
580,M Chinnaswamy Stadium,100,Punjab Kings,Royal Challengers Bangalore,29.928,9.396,53
581,Subrata Roy Sahara Stadium,50,Mumbai Indians,Pune Warriors,17.576,15.066,42
582,Subrata Roy Sahara Stadium,100,Pune Warriors,Mumbai Indians,33.458,10.184,37
583,"MA Chidambaram Stadium, Chepauk",50,Chennai Super Kings,Deccan Chargers,33.689,5.436,56
